,ProdName,TransID,ProdCat,SellType
1,1TB Portable External Hard Drive,3996,External.Hardrives,B2B
2,1TB Portable External Hard Drive,8931,External.Hardrives,B2B
3,1TB Portable External Hard Drive,8892,External.Hardrives,B2B
4,1TB Portable External Hard Drive,1223,External.Hardrives,B2B
5,1TB Portable External Hard Drive,8046,External.Hardrives,B2B
6,1TB Portable External Hard Drive,82,External.Hardrives,B2B
7,1TB Portable External Hard Drive,2710,External.Hardrives,B2B
8,1TB Portable External Hard Drive,7606,External.Hardrives,B2B
9,1TB Portable External Hard Drive,889,External.Hardrives,B2B
10,1TB Portable External Hard Drive,25,External.Hardrives,B2B
11,1TB Portable External Hard Drive,5425,External.Hardrives,B2B
12,1TB Portable External Hard Drive,3540,External.Hardrives,B2B
13,1TB Portable External Hard Drive,5313,External.Hardrives,B2B
14,1TB Portable External Hard Drive,1992,External.Hardrives,B2B
15,1TB Portable External Hard Drive,4247,External.Hardrives,B2B
16,1TB Portable External Hard Drive,102,External.Hardrives,B2B
17,1TB Portable External Hard Drive,8119,External.Hardrives,B2B
18,1TB Portable External Hard Drive,8533,External.Hardrives,B2B
19,2TB Portable External Hard Drive,5128,External.Hardrives,B2B
20,2TB Portable External Hard Drive,1857,External.Hardrives,B2B
21,2TB Portable External Hard Drive,818,External.Hardrives,B2B
22,2TB Portable External Hard Drive,4516,External.Hardrives,B2B
23,2TB Portable External Hard Drive,8243,External.Hardrives,B2B
24,2TB Portable External Hard Drive,4539,External.Hardrives,B2B
25,2TB Portable External Hard Drive,4249,External.Hardrives,B2B
26,2TB Portable External Hard Drive,1824,External.Hardrives,B2B
27,2TB Portable External Hard Drive,6091,External.Hardrives,B2B
28,2TB Portable External Hard Drive,2879,External.Hardrives,B2B
29,2TB Portable External Hard Drive,2267,External.Hardrives,B2B
30,2TB Portable External Hard Drive,6558,External.Hardrives,B2B
31,2TB Portable External Hard Drive,9802,External.Hardrives,B2B
32,2TB Portable External Hard Drive,661,External.Hardrives,B2B
33,2TB Portable External Hard Drive,7069,External.Hardrives,B2B
34,2TB Portable External Hard Drive,9002,External.Hardrives,B2B
